Critical vs Random 采样对比 — 遗漏分析
======================================================================

## 配置

  测试轮数:     30
  随机采样数:   5000
  Gap 阈值:     0.005
  活跃关节数:   7
  区间宽度范围: [0.3, 1.5]
  总耗时:       36.2s

## 汇总

  Critical 胜出: 25/30
  Random 胜出:   5/30
  Gap 总数:      0
  平均耗时 Critical: 0.170s
  平均耗时 Random:   1.035s

## 逐轮结果

 Run   Seed   Vol_Critical     Vol_Random   T_C(s)   T_R(s)  Gaps
----------------------------------------------------------------------
   1 640884       0.446171       0.446171    0.727    1.032     0
   2 972668       0.182063       0.182063    0.133    1.124     0
   3  20861       0.542651       0.542651    0.186    1.149     0
   4 124832       0.495785       0.495785    0.167    1.251     0
   5 370078       0.186653       0.186653    0.188    0.626     0
   6 639037       0.221827       0.221827    0.180    1.067     0
   7 675948       0.524096       0.524096    0.161    1.119     0
   8 804808       0.206255       0.206255    0.159    1.154     0
   9 944500       0.230168       0.230168    0.138    0.740     0
  10 137794       0.448154       0.448154    0.088    1.088     0
  11 808874       0.143131       0.143131    0.166    1.214     0
  12 696083       0.254323       0.254323    0.143    1.140     0
  13 638523       0.198213       0.198213    0.153    0.997     0
  14 739315       0.284235       0.284235    0.134    0.990     0
  15 488666       0.433097       0.433097    0.127    0.983     0
  16 478199       0.382634       0.383419    0.135    1.030     0
  17 538892       0.174394       0.174394    0.123    1.200     0
  18 393412       0.359124       0.359124    0.139    1.029     0
  19  29822       0.431061       0.431061    0.168    1.014     0
  20 753304       0.471847       0.471847    0.224    1.120     0
  21 665844       0.517815       0.517815    0.137    1.049     0
  22  87869       0.283081       0.283081    0.135    0.933     0
  23 887680       0.406872       0.406872    0.124    0.934     0
  24 106270       0.372774       0.372774    0.146    0.903     0
  25 603916       0.636250       0.636250    0.159    0.930     0
  26 480937       0.162693       0.162693    0.143    0.966     0
  27 416270       0.500197       0.500197    0.143    0.948     0
  28  15100       0.534486       0.534486    0.120    0.998     0
  29 138080       0.214853       0.214853    0.210    1.101     0
  30 458294       0.336340       0.336340    0.131    1.224     0

## 未发现遗漏

Critical 采样在所有测试中均 >= Random 采样
